start_time	end_time	character_name	dialogue	location
00:03:44,210	00:03:46,120	JERRY	Jerry Lundegaard.	JERRY'S CUBICLE
00:03:47,430	00:03:49,830	YOUNGER_MAN	You're Jerry Lundegaard?	INSIDE
00:03:47,430	00:03:49,830	JERRY	Yah. But it's not a whole pay- in-advance deal. I give you a brand-new vehicle in advance and -	INSIDE
00:03:49,930	00:03:50,890	JERRY	Yah, Shep Proudfoot said -	INSIDE
00:03:51,030	00:03:54,390	YOUNGER_MAN	Shep said you'd be here at 7:30. What gives, man?	INSIDE
00:03:54,470	00:03:56,130	JERRY	Shep said 8:30.	INSIDE
00:03:56,230	00:03:59,140	YOUNGER_MAN	We been sitting here an hour. I've peed three times already.	INSIDE
00:03:59,230	00:04:04,760	JERRY	I'm sure sorry. I - Shep told me 8:30. It was a mix-up, I guess.	INSIDE
00:04:04,760	00:04:04,770	YOUNGER_MAN	Ya got the car?	INSIDE
00:04:04,760	00:04:04,770	ANDERSON	You bet.	HOTEL LOBBY
00:04:04,770	00:04:07,980	JERRY	Yah, you bet. It's in the lot there. Brand-new burnt umber Ciera.	INSIDE
00:04:08,070	00:04:12,280	YOUNGER_MAN	Yeah, okay. Well, siddown then. I'm Carl Showalter and this is my associate Gaear Grimsrud.	INSIDE
00:04:16,700	00:04:18,160	JERRY	Yah.	INSIDE
00:04:18,250	00:04:22,490	JERRY	Yah, how ya doin'. So, uh, we all set on this thing, then?	INSIDE
00:04:22,580	00:04:28,090	JERRY	Yah, no, I'm sure you are. Shep vouched for you and all. I got every confidence in you fellas.	INSIDE
00:04:33,350	00:04:36,180	JERRY	... So I guess that's it, then. Here's the keys -	INSIDE
00:04:36,260	00:04:37,970	CARL	No, that's not it, Jerry.	INSIDE
00:04:38,060	00:04:41,390	JERRY	Huh?	INSIDE
00:04:41,480	00:04:47,400	MARGE	Yah, but -	JERRY LUNDEGAARD'S OFFICE
00:04:47,480	00:04:50,350	JERRY	Yah, but the deal was, the car first, see, then the forty thousand, like as if it was the ransom. I thought Shep told you -	INSIDE
00:04:47,480	00:04:50,350	CARL	Shep didn't tell us much, Jerry.	INSIDE
00:04:50,450	00:04:53,650	WADE	Well -	EMBERS FAMILY RESTAURANT
00:04:53,740	00:04:56,660	JERRY	Yah, well, that was a mix-up, then.	INSIDE
00:04:53,740	00:04:56,660	SHEP	Call 'em up.	GUSTAFSON OLD GARAGE
00:04:53,740	00:04:56,660	CARL	Yeah.	INT. CAR
00:04:56,740	00:05:00,440	CLERK	Okay, Mr. Anderson, and you're still planning on staying with us just the night, then?	HOTEL LOBBY
00:05:04,880	00:05:07,540	CARL	I'm not gonna debate you, Jerry.	INSIDE
00:05:07,630	00:05:09,700	CARL	I'm not gonna sit here and debate. I will say this though: what Shep told us didn't make a whole lot of sense.	INSIDE
00:05:13,550	00:05:16,470	JERRY	Oh, no, it's real sound. It's all worked out.	INSIDE
00:05:17,300	00:05:20,720	CARL	You want your own wife kidnapped?	INSIDE
00:05:35,110	00:05:38,560	JERRY	Okay, it's - see, it's not me payin' the ransom. The thing is, my wife, she's wealthy - her dad, he's real well off. Now, I'm in a bit of trouble -	INSIDE
00:05:43,120	00:05:46,290	CARL	What kind of trouble are you in, Jerry?	INSIDE
00:05:51,590	00:05:55,420	CARL	So why don't you just ask him for the money?	INSIDE
00:05:55,510	00:05:58,340	GRIMSRUD	Or your fucking wife, you know.	INSIDE
00:05:55,510	00:05:58,340	CARL	Or your fucking wife, Jerry.	INSIDE
00:05:58,430	00:06:00,300	JERRY	Well ... yah.	JERRY'S CUBICLE
00:06:04,350	00:06:07,100	JERRY	Well, it's all just part of this - they don't know I need it, see. Okay, so there's that. And even if they did, I wouldn't get it. So there's that on top, then. See, these're personal matters.	INSIDE
00:06:11,020	00:06:13,600	CARL	Personal matters.	INSIDE
00:06:16,820	00:06:22,660	CARL	Okay, Jerry. You're tasking us to perform this mission, but you, you won't, uh, you won't - aw, fuck it, let's take a look at that Ciera.	INSIDE
00:06:36,880	00:06:40,460	MARGE	Hiya, hon.	BRAINERD POLICE HEADQUARTERS
00:06:41,260	00:06:43,750	VOICE	Thank you, hon. How's Fargo?	MINNEAPOLIS SUBURBAN HOUSE
00:06:44,810	00:06:47,090	VOICE	Dad's here.	MINNEAPOLIS SUBURBAN HOUSE
00:06:52,060	00:06:54,300	JERRY	How ya doin', Wade?	DEN
00:06:54,400	00:06:56,470	JERRY	Whatcha watchin' there?	DEN
00:06:54,400	00:06:56,470	JERRY	So you're goin' to the Gophers on Sunday?	NEARBY CUBICLE
00:06:56,570	00:06:58,850	JERRY	... Who they playin'?	DEN
00:07:05,700	00:07:10,200	JERRY	Is he stayin' for supper, then?	KITCHEN
00:07:05,700	00:07:10,200	WIFE	Yah, I think so... Dad, are you stayin' for supper?	KITCHEN
00:07:10,290	00:07:12,160	CARL	What?	INT. CAR
00:07:12,250	00:07:14,120	HOOKER	Yeah. Yeah. Oh, yeah.	MOTEL ROOM
00:07:20,590	00:07:22,250	SCOTTY	May I be excused?	DINING ROOM
00:07:22,340	00:07:24,710	NORM	You shouldn't be on your feet too much, you got weight you're not used too. How's the food down there?	INT. HUT
00:07:22,340	00:07:24,710	SCOTTY	Uh-huh. Goin' out.	DINING ROOM
00:07:24,800	00:07:27,800	WIFE	Where are you going?	DINING ROOM
00:07:24,800	00:07:27,800	SCOTTY	Just out. Just McDonald's.	DINING ROOM
00:07:27,890	00:07:29,960	JERRY	Back at 9:30.	DINING ROOM
00:07:30,430	00:07:34,760	WADE	He just ate. And he didn't finish. He's going to McDonald's instead of finishing here?	DINING ROOM
00:07:35,060	00:07:38,600	WIFE	He sees his friends there. It's okay.	DINING ROOM
00:07:38,690	00:07:42,390	WADE	It's okay? McDonald's? What do you think they do there? They don't drink milkshakes, I assure you!	DINING ROOM
00:07:50,490	00:07:54,490	JERRY	Wade, have ya had a chance to think about, uh, that deal I was talkin' about, those forty acres there on Wayzata?	DINING ROOM
00:07:54,580	00:07:58,080	WADE	You told me about it.	DINING ROOM
00:08:04,840	00:08:07,550	JERRY	A lot. It's a limited -	DINING ROOM
00:08:04,840	00:08:07,550	WADE	I know it's a lot.	DINING ROOM
00:08:07,640	00:08:12,630	JERRY	I mean a parking lot.	DINING ROOM
00:08:12,730	00:08:17,770	JERRY	Yah, well, it's a chunk, but -	DINING ROOM
00:08:17,850	00:08:23,230	WADE	I thought you were gonna show it to Stan Grossman. He passes on this stuff before it gets kicked up to me.	DINING ROOM
00:08:23,320	00:08:26,020	JERRY	Well, you know Stan'll say no dice. That's why you pay him. I'm asking you here, Wade. This could work out real good for me and Jean and Scotty -	DINING ROOM
00:08:32,740	00:08:35,070	WADE	Jean and Scotty never have to worry.	DINING ROOM
00:08:50,010	00:08:52,470	GRIMSRUD	Where is Pancakes Hause?	INT. CAR
00:08:53,390	00:08:56,510	GRIMSRUD	We stop at Pancakes Hause.	INT. CAR
00:08:57,810	00:09:00,050	CARL	What're you, nuts? We had pancakes for breakfast. I gotta go somewhere I can get a shot and a beer - and a steak maybe. Not more fuckin' pancakes. Come on.	INT. CAR
00:09:14,740	00:09:16,870	CARL	... Come on, man. Okay, here's an idea. We'll stop outside of Brainerd. I know a place there we can get laid. Wuddya think?	INT. CAR
00:09:20,870	00:09:23,660	GRIMSRUD	I'm fuckin' hungry now, you know.	INT. CAR
00:09:20,870	00:09:23,660	CARL	Yeah, yeah, Jesus - I'm sayin', we'll stop for pancakes, then we'll get laid. Wuddya think?	INT. CAR
00:09:41,810	00:09:44,760	CUSTOMER	We sat here right in this room and went over this and over this!	GUSTAFSON OLDS GARAGE
00:09:44,860	00:09:48,930	JERRY	Yah, but that TruCoat -	GUSTAFSON OLDS GARAGE
00:09:44,860	00:09:48,930	CUSTOMER	I sat right here and said I didn't want no TruCoat!	GUSTAFSON OLDS GARAGE
00:09:49,030	00:09:54,730	JERRY	Yah, but I'm sayin', that TruCoat, you don't get it and you get oxidization problems. It'll cost you a heck of lot more'n five hunnert -	GUSTAFSON OLDS GARAGE
00:09:59,120	00:10:02,290	JERRY	Yah, but this TruCoat -	GUSTAFSON OLDS GARAGE
00:10:07,920	00:10:11,700	GRIMSRUD	I did.	CAR
00:10:11,800	00:10:14,550	CUSTOMER	You called me twenty minutes ago and said you had it! Ready to make delivery, ya says! Come on down and get it! And here ya are and you're wastin' my time and you're wastin' my wife's time and I'm payin' nineteen-five for this vehicle here!	GUSTAFSON OLDS GARAGE
00:10:22,560	00:10:24,600	JERRY	Yah, well, they exist all right.	JERRY'S CUBICLE
00:10:24,690	00:10:26,810	JERRY	Well, okay, I'll talk to my boss...	GUSTAFSON OLDS GARAGE
00:10:29,730	00:10:33,810	JERRY	... See, they install that TruCoat at the factory, there's nothin' we can do, but I'll talk to my boss.	GUSTAFSON OLDS GARAGE
00:10:36,700	00:10:39,100	CUSTOMER	These guys here - these guys! It's always the same! It's always more! He's a liar!	GUSTAFSON OLDS GARAGE
00:10:47,170	00:10:50,200	MARGE	Oh, you bet, yah.	INT. STRIPPER CLUB
00:10:50,290	00:10:52,530	JERRY	You wouldn't have an extra ticket there?	NEARBY CUBICLE
